State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Max AQI,Median AQI,Pct_Good,Pct_Unhealthy
Alabama,Baldwin,2024,355,278,77,0,0,90,40,0.7830985915492957,0.0
Alabama,Clay,2024,354,307,47,0,0,75,29,0.867231638418079,0.0
Alabama,Dekalb,2024,366,277,89,0,0,87,43,0.7568306010928961,0.0
Alabama,Elmore,2024,234,231,3,0,0,58,37,0.9871794871794872,0.0
Alabama,Etowah,2024,362,212,150,0,0,93,47,0.585635359116022,0.0
Alabama,Jefferson,2024,366,95,265,6,0,119,57,0.25956284153005466,0.01639344262295082
Alabama,Lawrence,2024,93,78,15,0,0,86,34,0.8387096774193549,0.0
Alabama,Madison,2024,363,254,109,0,0,100,44,0.699724517906336,0.0
Alabama,Mobile,2024,365,242,123,0,0,80,45,0.663013698630137,0.0
Alabama,Montgomery,2024,358,247,110,1,0,102,42,0.6899441340782123,0.002793296089385475
Alabama,Morgan,2024,366,264,102,0,0,81,44,0.7213114754098361,0.0
Alabama,Russell,2024,277,223,54,0,0,98,42,0.8050541516245487,0.0
Alabama,Shelby,2024,239,216,23,0,0,97,40,0.9037656903765691,0.0
Alabama,Sumter,2024,366,309,57,0,0,73,36,0.8442622950819673,0.0
Alabama,Tuscaloosa,2024,359,318,39,2,0,125,37,0.8857938718662952,0.005571030640668524
Alaska,Aleutians East,2024,92,91,1,0,0,53,13,0.9891304347826086,0.0
Alaska,Anchorage,2024,366,297,69,0,0,90,24,0.8114754098360656,0.0
Alaska,Denali,2024,362,357,5,0,0,77,35,0.9861878453038674,0.0
Alaska,Fairbanks North Star,2024,366,213,128,15,8,325,42,0.5819672131147541,0.06284153005464481
Alaska,Juneau,2024,356,304,52,0,0,84,24,0.8539325842696629,0.0
Alaska,Kenai Peninsula,2024,102,102,0,0,0,42,9,1.0,0.0
Alaska,Matanuska-Susitna,2024,357,329,28,0,0,95,16,0.9215686274509803,0.0
Alaska,North Slope,2024,102,102,0,0,0,32,6,1.0,0.0
Arizona,Apache,2024,352,350,2,0,0,57,14,0.9943181818181818,0.0
Arizona,Cochise,2024,366,225,128,11,1,307,48,0.6147540983606558,0.03278688524590164
Arizona,Coconino,2024,366,253,108,5,0,136,46,0.6912568306010929,0.01366120218579235
Arizona,Gila,2024,366,193,144,27,2,159,50,0.5273224043715847,0.07923497267759563
Arizona,La Paz,2024,363,224,135,4,0,105,47,0.6170798898071626,0.011019283746556474
Arizona,Maricopa,2024,366,33,260,65,7,261,77,0.09016393442622951,0.19672131147540983
Arizona,Mohave,2024,352,347,5,0,0,69,19,0.9857954545454546,0.0
Arizona,Navajo,2024,359,357,2,0,0,53,13,0.9944289693593314,0.0
Arizona,Pima,2024,366,113,241,10,2,171,56,0.3087431693989071,0.03278688524590164
Arizona,Pinal,2024,366,77,219,65,3,337,77,0.2103825136612022,0.18579234972677597
Arizona,Santa Cruz,2024,360,212,140,7,0,494,43,0.5888888888888889,0.019444444444444445
Arizona,Yavapai,2024,366,225,139,2,0,115,47,0.6147540983606558,0.00546448087431694
Arizona,Yuma,2024,365,212,149,3,1,179,47,0.5808219178082191,0.010958904109589041
Arkansas,Arkansas,2024,118,72,46,0,0,98,46,0.6101694915254238,0.0
Arkansas,Ashley,2024,121,77,44,0,0,96,41,0.6363636363636364,0.0
Arkansas,Clark,2024,360,336,24,0,0,93,35,0.9333333333333333,0.0
Arkansas,Crittenden,2024,366,294,67,5,0,133,41,0.8032786885245902,0.01366120218579235
Arkansas,Garland,2024,118,63,55,0,0,97,50,0.5338983050847458,0.0
Arkansas,Jackson,2024,117,83,34,0,0,95,39,0.7094017094017094,0.0
Arkansas,Newton,2024,366,334,32,0,0,87,39,0.912568306010929,0.0
Arkansas,Polk,2024,324,261,62,0,1,167,38,0.8055555555555556,0.0030864197530864196
Arkansas,Pulaski,2024,366,118,242,5,0,205,55,0.3224043715846995,0.01366120218579235
Arkansas,Union,2024,121,62,59,0,0,93,49,0.512396694214876,0.0
Arkansas,Washington,2024,366,304,61,1,0,101,41,0.8306010928961749,0.00273224043715847
California,Alameda,2024,61,52,9,0,0,63,39,0.8524590163934426,0.0
California,Amador,2024,359,281,72,6,0,143,40,0.7827298050139275,0.016713091922005572
California,Butte,2024,366,231,133,0,1,213,46,0.6311475409836066,0.00273224043715847
California,Calaveras,2024,359,261,90,8,0,129,42,0.7270194986072424,0.022284122562674095
California,Colusa,2024,366,68,298,0,0,90,54,0.18579234972677597,0.0
California,Contra Costa,2024,350,183,167,0,0,94,49,0.5228571428571429,0.0
California,Del Norte,2024,288,231,55,2,0,125,32,0.8020833333333334,0.006944444444444444
California,El Dorado,2024,366,261,97,8,0,115,44,0.7131147540983607,0.02185792349726776
California,Fresno,2024,366,71,216,65,14,169,67,0.19398907103825136,0.21584699453551912
California,Glenn,2024,366,292,74,0,0,80,39,0.7978142076502732,0.0
California,Humboldt,2024,366,266,100,0,0,86,38,0.726775956284153,0.0
California,Imperial,2024,366,83,233,42,5,341,63,0.226775956284153,0.1284153005464481
California,Inyo,2024,366,90,246,17,7,1322,61,0.2459016393442623,0.06557377049180328
California,Kern,2024,366,76,196,73,21,177,72,0.20765027322404372,0.2568306010928962
California,Kings,2024,366,100,231,33,2,156,60,0.273224043715847,0.09562841530054644
California,Lake,2024,363,361,2,0,0,67,32,0.9944903581267218,0.0
California,Los Angeles,2024,366,38,195,78,46,230,80,0.10382513661202186,0.33879781420765026
California,Madera,2024,366,163,178,25,0,140,52,0.4453551912568306,0.06830601092896176
California,Marin,2024,140,123,17,0,0,68,28,0.8785714285714286,0.0
California,Mariposa,2024,366,255,105,6,0,133,45,0.6967213114754098,0.01639344262295082
California,Mendocino,2024,366,244,122,0,0,83,43,0.6666666666666666,0.0
California,Merced,2024,366,168,163,34,1,151,52,0.45901639344262296,0.09562841530054644
California,Mono,2024,366,341,25,0,0,69,19,0.9316939890710383,0.0
California,Monterey,2024,366,292,74,0,0,71,39,0.7978142076502732,0.0
California,Nevada,2024,365,313,50,2,0,132,36,0.8575342465753425,0.005479452054794521
California,Orange,2024,366,119,231,13,3,172,54,0.3251366120218579,0.04371584699453552
California,Placer,2024,366,188,151,27,0,140,50,0.5136612021857924,0.07377049180327869
California,Plumas,2024,366,188,162,7,7,253,48,0.5136612021857924,0.03825136612021858
California,Riverside,2024,366,43,176,80,60,213,86,0.11748633879781421,0.3825136612021858
California,Sacramento,2024,366,182,169,15,0,140,51,0.4972677595628415,0.040983606557377046
California,San Benito,2024,366,260,105,1,0,105,43,0.7103825136612022,0.00273224043715847
California,San Bernardino,2024,366,40,182,56,61,593,87,0.1092896174863388,0.319672131147541
California,San Diego,2024,366,47,267,48,4,161,71,0.1284153005464481,0.14207650273224043
California,San Francisco,2024,60,60,0,0,0,38,29,1.0,0.0
California,San Joaquin,2024,366,178,177,11,0,140,51,0.48633879781420764,0.030054644808743168
California,San Luis Obispo,2024,366,193,163,10,0,122,49,0.5273224043715847,0.0273224043715847
California,San Mateo,2024,61,42,19,0,0,64,44,0.6885245901639344,0.0
California,Santa Barbara,2024,366,193,171,2,0,146,49,0.5273224043715847,0.00546448087431694
California,Santa Clara,2024,358,200,157,1,0,111,47,0.5586592178770949,0.002793296089385475
California,Santa Cruz,2024,366,293,73,0,0,80,39,0.8005464480874317,0.0
California,Shasta,2024,366,268,94,3,0,232,44,0.73224043715847,0.00819672131147541
California,Siskiyou,2024,366,285,81,0,0,94,41,0.7786885245901639,0.0
California,Solano,2024,365,343,22,0,0,80,36,0.9397260273972603,0.0
California,Sonoma,2024,366,365,1,0,0,53,11,0.9972677595628415,0.0
California,Stanislaus,2024,366,166,162,38,0,150,53,0.453551912568306,0.10382513661202186
California,Sutter,2024,366,195,166,5,0,115,49,0.5327868852459017,0.01366120218579235
California,Tehama,2024,366,252,112,2,0,109,43,0.6885245901639344,0.00546448087431694
California,Trinity,2024,357,258,98,1,0,113,31,0.7226890756302521,0.0028011204481792717
California,Tulare,2024,366,76,179,83,28,185,71,0.20765027322404372,0.30327868852459017
California,Tuolumne,2024,354,286,64,4,0,115,40,0.807909604519774,0.011299435028248588
California,Ventura,2024,366,191,160,14,1,176,50,0.5218579234972678,0.040983606557377046
California,Yolo,2024,366,238,127,1,0,118,45,0.6502732240437158,0.00273224043715847
Colorado,Adams,2024,366,147,197,20,2,161,55,0.4016393442622951,0.060109289617486336
Colorado,Alamosa,2024,364,324,40,0,0,98,26,0.8901098901098901,0.0
Colorado,Arapahoe,2024,366,196,153,15,2,161,49,0.5355191256830601,0.04644808743169399
Colorado,Archuleta,2024,366,349,17,0,0,80,32,0.953551912568306,0.0
Colorado,Boulder,2024,366,212,144,9,1,154,49,0.5792349726775956,0.0273224043715847
Colorado,Chaffee,2024,161,74,82,5,0,112,51,0.45962732919254656,0.031055900621118012
Colorado,Clear Creek,2024,351,202,139,10,0,136,49,0.5754985754985755,0.02849002849002849
Colorado,Denver,2024,366,129,208,26,3,172,55,0.3524590163934426,0.07923497267759563
Colorado,Douglas,2024,363,208,130,21,4,166,48,0.5730027548209367,0.06887052341597796
Colorado,El Paso,2024,366,202,150,12,2,166,49,0.5519125683060109,0.03825136612021858
Colorado,Fremont,2024,362,354,8,0,0,59,13,0.9779005524861878,0.0
Colorado,Garfield,2024,366,218,143,5,0,133,49,0.5956284153005464,0.01366120218579235
Colorado,Gilpin,2024,363,240,111,12,0,150,48,0.6611570247933884,0.03305785123966942
Colorado,Grand,2024,161,133,28,0,0,93,45,0.8260869565217391,0.0
Colorado,Gunnison,2024,366,243,123,0,0,100,47,0.6639344262295082,0.0
Colorado,Jackson,2024,364,304,57,3,0,105,44,0.8351648351648352,0.008241758241758242
Colorado,Jefferson,2024,366,192,137,30,7,174,50,0.5245901639344263,0.10109289617486339
Colorado,La Plata,2024,366,241,123,1,0,240,46,0.6584699453551912,0.00273224043715847
Colorado,Larimer,2024,366,156,187,21,2,161,54,0.4262295081967213,0.06284153005464481
Colorado,Mesa,2024,366,215,144,7,0,136,48,0.587431693989071,0.01912568306010929
Colorado,Montezuma,2024,366,262,103,1,0,101,45,0.7158469945355191,0.00273224043715847
Colorado,Park,2024,323,172,139,12,0,147,50,0.5325077399380805,0.03715170278637771
Colorado,Pitkin,2024,257,246,11,0,0,76,19,0.9571984435797666,0.0
Colorado,Prowers,2024,366,321,45,0,0,98,25,0.8770491803278688,0.0
Colorado,Pueblo,2024,366,249,109,8,0,143,44,0.680327868852459,0.02185792349726776
Colorado,Rio Blanco,2024,366,266,96,4,0,142,46,0.726775956284153,0.01092896174863388
Colorado,Routt,2024,365,364,1,0,0,53,12,0.9972602739726028,0.0
Colorado,San Juan,2024,101,100,1,0,0,51,11,0.9900990099009901,0.0
Colorado,San Miguel,2024,361,311,50,0,0,97,19,0.8614958448753463,0.0
Colorado,Weld,2024,366,149,196,19,2,164,54,0.40710382513661203,0.05737704918032787
Connecticut,Fairfield,2024,366,248,97,18,3,154,42,0.6775956284153005,0.05737704918032787
Connecticut,Hartford,2024,366,280,79,6,1,185,39,0.7650273224043715,0.01912568306010929
Connecticut,Litchfield,2024,362,305,49,8,0,119,38,0.8425414364640884,0.022099447513812154
Connecticut,Middlesex,2024,209,178,25,5,1,177,40,0.8516746411483254,0.028708133971291867
Connecticut,New Haven,2024,366,260,94,11,1,156,41,0.7103825136612022,0.03278688524590164
Connecticut,New London,2024,365,309,51,5,0,126,37,0.8465753424657534,0.0136986301369863
Connecticut,Tolland,2024,205,184,16,4,1,156,37,0.8975609756097561,0.024390243902439025
Connecticut,Windham,2024,359,340,17,2,0,122,34,0.947075208913649,0.005571030640668524
Country Of Mexico,Sonora,2024,366,131,216,16,3,193,57,0.35792349726775957,0.05191256830601093
Delaware,Kent,2024,336,250,86,0,0,100,41,0.7440476190476191,0.0
Delaware,New Castle,2024,366,246,116,4,0,119,43,0.6721311475409836,0.01092896174863388
Delaware,Sussex,2024,365,298,67,0,0,90,40,0.8164383561643835,0.0
District Of Columbia,District Of Columbia,2024,366,233,129,4,0,133,45,0.6366120218579235,0.01092896174863388
Florida,Alachua,2024,349,300,49,0,0,94,38,0.8595988538681948,0.0
Florida,Baker,2024,359,279,80,0,0,87,42,0.7771587743732591,0.0
Florida,Bay,2024,356,214,141,0,0,215,47,0.601123595505618,0.0
Florida,Brevard,2024,366,311,55,0,0,74,40,0.8497267759562842,0.0
Florida,Broward,2024,366,213,152,0,1,154,47,0.5819672131147541,0.00273224043715847
Florida,Citrus,2024,345,248,96,0,0,272,43,0.7188405797101449,0.0
Florida,Collier,2024,366,279,87,0,0,87,42,0.7622950819672131,0.0
Florida,Columbia,2024,349,220,129,0,0,93,44,0.6303724928366762,0.0
Florida,Duval,2024,366,190,176,0,0,98,50,0.5191256830601093,0.0
Florida,Escambia,2024,366,256,110,0,0,84,43,0.6994535519125683,0.0
Florida,Flagler,2024,354,344,10,0,0,71,35,0.9717514124293786,0.0
Florida,Hamilton,2024,319,215,104,0,0,75,44,0.6739811912225705,0.0
Florida,Highlands,2024,363,333,30,0,0,77,35,0.9173553719008265,0.0
Florida,Hillsborough,2024,362,190,168,4,0,143,50,0.5248618784530387,0.011049723756906077
Florida,Holmes,2024,357,215,142,0,0,73,47,0.6022408963585434,0.0
Florida,Indian River,2024,348,344,4,0,0,64,35,0.9885057471264368,0.0
Florida,Lake,2024,344,312,32,0,0,100,36,0.9069767441860465,0.0
Florida,Lee,2024,360,333,27,0,0,80,36,0.925,0.0
Florida,Leon,2024,355,243,111,1,0,129,44,0.6845070422535211,0.0028169014084507044
Florida,Liberty,2024,330,327,3,0,0,54,31,0.990909090909091,0.0
Florida,Manatee,2024,348,317,30,1,0,115,37,0.9109195402298851,0.0028735632183908046
Florida,Marion,2024,360,189,170,1,0,101,49,0.525,0.002777777777777778
Florida,Martin,2024,357,309,48,0,0,71,39,0.865546218487395,0.0
Florida,Miami-Dade,2024,366,219,143,1,3,197,48,0.5983606557377049,0.01092896174863388
Florida,Okaloosa,2024,366,341,25,0,0,74,36,0.9316939890710383,0.0
Florida,Orange,2024,360,272,86,2,0,121,41,0.7555555555555555,0.005555555555555556
Florida,Osceola,2024,349,314,34,1,0,108,36,0.8997134670487106,0.0028653295128939827
Florida,Palm Beach,2024,366,257,109,0,0,76,43,0.7021857923497268,0.0
Florida,Pasco,2024,354,320,34,0,0,97,39,0.903954802259887,0.0
Florida,Pinellas,2024,360,213,144,3,0,132,48,0.5916666666666667,0.008333333333333333
Florida,Polk,2024,365,282,82,1,0,105,39,0.7726027397260274,0.0027397260273972603
Florida,Putnam,2024,362,329,31,2,0,112,25,0.9088397790055248,0.0055248618784530384
Florida,Santa Rosa,2024,366,235,131,0,0,81,46,0.6420765027322405,0.0
Florida,Sarasota,2024,360,242,117,1,0,115,44,0.6722222222222223,0.002777777777777778
Florida,Seminole,2024,286,204,81,1,0,149,43,0.7132867132867133,0.0034965034965034965
Florida,St. Lucie,2024,362,353,9,0,0,64,35,0.9751381215469613,0.0
Florida,Volusia,2024,360,293,67,0,0,76,39,0.8138888888888889,0.0
Florida,Wakulla,2024,356,261,94,1,0,139,41,0.7331460674157303,0.0028089887640449437
Georgia,Bibb,2024,366,179,185,2,0,123,51,0.4890710382513661,0.00546448087431694
Georgia,Charlton,2024,99,92,7,0,0,81,28,0.9292929292929293,0.0
Georgia,Chatham,2024,365,232,132,1,0,130,44,0.6356164383561644,0.0027397260273972603
Georgia,Chattooga,2024,240,231,9,0,0,77,39,0.9625,0.0
Georgia,Clarke,2024,364,222,140,2,0,126,46,0.6098901098901099,0.005494505494505495
Georgia,Clayton,2024,222,124,96,2,0,128,45,0.5585585585585585,0.009009009009009009
Georgia,Cobb,2024,364,202,162,0,0,86,48,0.554945054945055,0.0
Georgia,Coffee,2024,356,240,115,1,0,137,43,0.6741573033707865,0.0028089887640449437
Georgia,Columbia,2024,172,162,10,0,0,90,36,0.9418604651162791,0.0
Georgia,Dawson,2024,245,225,19,0,1,154,39,0.9183673469387755,0.004081632653061225
Georgia,Dekalb,2024,366,178,182,6,0,133,51,0.48633879781420764,0.01639344262295082
Georgia,Dougherty,2024,366,227,135,4,0,121,45,0.6202185792349727,0.01092896174863388
Georgia,Douglas,2024,244,208,34,2,0,133,41,0.8524590163934426,0.00819672131147541
Georgia,Floyd,2024,361,256,105,0,0,89,38,0.7091412742382271,0.0
Georgia,Fulton,2024,366,186,176,4,0,129,50,0.5081967213114754,0.01092896174863388
Georgia,Glynn,2024,366,286,80,0,0,84,39,0.7814207650273224,0.0
Georgia,Gwinnett,2024,366,159,206,0,1,161,53,0.4344262295081967,0.00273224043715847
Georgia,Hall,2024,366,176,190,0,0,100,52,0.4808743169398907,0.0
Georgia,Henry,2024,364,269,89,6,0,133,40,0.739010989010989,0.016483516483516484
Georgia,Houston,2024,362,247,114,1,0,105,43,0.6823204419889503,0.0027624309392265192
Georgia,Lowndes,2024,342,212,128,1,1,154,44,0.6198830409356725,0.005847953216374269
Georgia,Murray,2024,259,216,43,0,0,77,42,0.833976833976834,0.0
Georgia,Muscogee,2024,366,193,166,7,0,127,49,0.5273224043715847,0.01912568306010929
Georgia,Pike,2024,352,301,47,4,0,126,39,0.8551136363636364,0.011363636363636364
Georgia,Richmond,2024,358,176,181,1,0,105,51,0.49162011173184356,0.002793296089385475
Georgia,Rockdale,2024,244,218,24,2,0,115,39,0.8934426229508197,0.00819672131147541
Georgia,Sumter,2024,244,228,16,0,0,84,38,0.9344262295081968,0.0
Georgia,Walker,2024,363,165,198,0,0,98,52,0.45454545454545453,0.0
Georgia,Washington,2024,361,221,139,1,0,101,44,0.6121883656509696,0.002770083102493075
Hawaii,Hawaii,2024,366,355,11,0,0,75,21,0.9699453551912568,0.0
Hawaii,Honolulu,2024,366,360,6,0,0,85,31,0.9836065573770492,0.0
Hawaii,Maui,2024,364,363,0,1,0,101,21,0.9972527472527473,0.0027472527472527475
Idaho,Ada,2024,366,230,101,28,6,214,44,0.6284153005464481,0.09289617486338798
Idaho,Bannock,2024,366,286,78,2,0,104,39,0.7814207650273224,0.00546448087431694
Idaho,Benewah,2024,365,225,136,4,0,112,43,0.6164383561643836,0.010958904109589041
Idaho,Blaine,2024,359,310,43,4,1,220,19,0.8635097493036211,0.013927576601671309
Idaho,Boise,2024,366,189,128,17,29,265,48,0.5163934426229508,0.12568306010928962
Idaho,Bonner,2024,365,272,89,4,0,125,32,0.7452054794520548,0.010958904109589041
Idaho,Bonneville,2024,364,316,48,0,0,91,22,0.8681318681318682,0.0
Idaho,Butte,2024,357,303,54,0,0,97,42,0.8487394957983193,0.0
Idaho,Canyon,2024,366,248,103,9,6,183,36,0.6775956284153005,0.040983606557377046
Idaho,Custer,2024,90,75,9,5,1,152,8,0.8333333333333334,0.06666666666666667
Idaho,Franklin,2024,358,304,54,0,0,88,22,0.8491620111731844,0.0
Idaho,Idaho,2024,366,237,121,5,2,217,42,0.6475409836065574,0.01912568306010929
Idaho,Kootenai,2024,355,291,63,1,0,109,24,0.819718309859155,0.0028169014084507044
Idaho,Latah,2024,366,297,68,1,0,117,27,0.8114754098360656,0.00273224043715847
Idaho,Lemhi,2024,366,207,143,12,4,198,37,0.5655737704918032,0.04371584699453552
Idaho,Nez Perce,2024,366,276,82,7,1,182,29,0.7540983606557377,0.02185792349726776
Idaho,Shoshone,2024,366,209,156,1,0,112,46,0.5710382513661202,0.00273224043715847
Idaho,Twin Falls,2024,347,264,76,4,3,158,23,0.760806916426513,0.020172910662824207
Idaho,Valley,2024,357,235,113,8,1,155,37,0.6582633053221288,0.025210084033613446
Illinois,Adams,2024,233,210,23,0,0,97,42,0.9012875536480687,0.0
Illinois,Champaign,2024,366,250,116,0,0,100,44,0.6830601092896175,0.0
Illinois,Clark,2024,363,332,31,0,0,90,36,0.9146005509641874,0.0
Illinois,Cook,2024,366,131,224,10,1,166,54,0.35792349726775957,0.030054644808743168
Illinois,Dupage,2024,366,230,136,0,0,97,45,0.6284153005464481,0.0
Illinois,Effingham,2024,240,217,22,1,0,101,41,0.9041666666666667,0.004166666666666667
Illinois,Hamilton,2024,366,236,129,1,0,112,44,0.644808743169399,0.00273224043715847
Illinois,Jersey,2024,333,248,84,1,0,112,42,0.7447447447447447,0.003003003003003003
Illinois,Jo Daviess,2024,349,327,21,1,0,101,36,0.9369627507163324,0.0028653295128939827
Illinois,Kane,2024,328,237,90,1,0,105,42,0.7225609756097561,0.003048780487804878
Illinois,Lake,2024,245,201,39,5,0,140,40,0.8204081632653061,0.02040816326530612
Illinois,Macon,2024,366,238,127,1,0,101,43,0.6502732240437158,0.00273224043715847
Illinois,Macoupin,2024,366,342,23,1,0,105,35,0.9344262295081968,0.00273224043715847
